species,common_name,N,audio_index,time,Index
Actitis macularius,Spotted Sandpiper,0.2073835521553173,-0.3755228939426579,pre,0.104819
Agelaius phoeniceus,Red-winged Blackbird,0.5919455080722394,0.40751927824096984,pre,213.11154224999999
Aix sponsa,Wood Duck,0.4461946539799752,-0.7044939116316719,pre,2.1442055
Anas crecca,Green-winged Teal,0.24168860936184905,-0.6461328493763393,pre,0.0186825
Anas platyrhynchos,Mallard,0.5629932336464698,-0.8316283552899344,pre,7.7305085
Antigone canadensis,Sandhill Crane,0.4251378449757314,-0.04795452461337031,pre,15.8577685
Archilochus colubris,Ruby-throated Hummingbird,0.958170935405283,-0.748959232609749,pre,0.40161199999999997
Ardea alba,Great Egret,0.6724070184246268,-1.516928372890033,pre,0.5648485
Ardea herodias,Great Blue Heron,0.5275781529617758,-1.1491087738138028,pre,1.60215225
Astur cooperii,Cooper's Hawk,0.36488216597126977,-0.2554678578366795,pre,0.144497
Aythya affinis,Lesser Scaup,0.3346167263766768,-2.7442999972713333,pre,0.0215115
Aythya americana,Redhead,0.37899688675456983,-2.0583769322576813,pre,0.101313
Aythya collaris,Ring-necked Duck,0.3968635222296118,-1.728892125748346,pre,0.10673575
Aythya valisineria,Canvasback,0.4065236477378595,-2.2793350042715144,pre,0.009629080474379666
Baeolophus bicolor,Tufted Titmouse,0.4067471868272077,1.040315720070894,pre,1.80353225
Bombycilla cedrorum,Cedar Waxwing,0.2797588409678451,-0.2804704360512954,pre,8.14645075
Branta canadensis,Canada Goose,0.57846676537123,-0.24294647206734568,pre,193.34919225
Bubo virginianus,Great Horned Owl,0.4908954901738025,0.9308623844828642,pre,0.062866
Bucephala albeola,Bufflehead,0.43845496752913354,-1.9256419417703048,pre,0.0029422839414136454
Bucephala clangula,Common Goldeneye,0.39081676371204144,-1.4202759839137236,pre,8.51114016984096e-4
Buteo jamaicensis,Red-tailed Hawk,0.4011864589424392,-0.8923634693555595,pre,1.2891542500000002
Buteo platypterus,Broad-winged Hawk,0.3860727041759542,0.1362015444097658,pre,0.04675925
Butorides virescens,Green Heron,0.44419821193491266,-0.39846363674696095,pre,0.6212105
Cardellina pusilla,Wilson's Warbler,0.31860318973601354,0.6881961609387514,pre,0.025070992979238274
Cardinalis cardinalis,Northern Cardinal,0.7117666440344624,0.6526542390618777,pre,14.89251675
Cathartes aura,Turkey Vulture,0.4493084563527413,-2.8288834388220296,pre,3.21053925
Catharus fuscescens,Veery,0.17387209298380998,1.6114356788675628,pre,1.513815
Catharus guttatus,Hermit Thrush,0.3619160221456641,0.7028909506647012,pre,0.112445
Catharus ustulatus,Swainson's Thrush,0.305205778776777,1.4806864834371998,pre,0.00827475
Certhia americana,Brown Creeper,0.3683897553564507,0.6016800969657009,pre,0.0186325
Chaetura pelagica,Chimney Swift,0.27030344992345184,0.7616658066380082,pre,3.27630675
Charadrius vociferus,Killdeer,0.2755593013397977,0.09206104882452355,pre,13.30817725
Circus hudsonius,Northern Harrier,0.42748673730478526,-1.3799079384874102,pre,0.19032
Cistothorus palustris,Marsh Wren,0.2765188120291901,1.350275419854384,pre,1.0906445
Cistothorus stellaris,Sedge Wren,0.2280597728133379,1.533216277551275,pre,2.85304475
Coccyzus americanus,Yellow-billed Cuckoo,0.1601676988356537,0.944968018701756,pre,0.40905275
Colaptes auratus,Northern Flicker,0.2844080294554404,0.27472454845503935,pre,2.4612795
Columba livia,Rock Pigeon,0.3732858888083675,-0.8434255647469465,pre,61.73894275
Contopus virens,Eastern Wood-Pewee,0.258684781281212,0.8159466106773976,pre,4.9563235
Corthylio calendula,Ruby-crowned Kinglet,0.36351298844672303,0.28580944953821624,pre,0.06086581933629119
Corvus brachyrhynchos,American Crow,0.5223146456084914,0.8893359091070989,pre,45.5319765
Cyanocitta cristata,Blue Jay,0.6293986646289709,0.9490726867150356,pre,9.2349205
Cygnus olor,Mute Swan,0.5344704939446481,-1.1533960747624827,pre,0.58015525
Dolichonyx oryzivorus,Bobolink,0.2833672619157547,0.6294882912162766,pre,5.75455175
Dryobates pubescens,Downy Woodpecker,0.6250418659013014,0.03983725538924959,pre,1.9687982499999999
Dryobates villosus,Hairy Woodpecker,0.5598412087657356,0.6369150120150615,pre,0.74070925
Dryocopus pileatus,Pileated Woodpecker,0.5177742736206136,0.4626804793199197,pre,0.813493
Dumetella carolinensis,Gray Catbird,0.427322435919118,0.9053238462612664,pre,11.50185725
Empidonax minimus,Least Flycatcher,0.2121426320621777,0.9437387021709044,pre,0.7150215
Empidonax traillii,Willow Flycatcher,0.1659583118207215,1.1582893720019452,pre,2.45576425
Empidonax virescens,Acadian Flycatcher,0.0876559509425716,1.8380223123927697,pre,0.20484225
Eremophila alpestris,Horned Lark,0.20519419398274347,0.02110907047221531,pre,22.570476499999998
Falco sparverius,American Kestrel,0.44361609687328385,-0.938543418208577,pre,0.656242
Fulica americana,American Coot,0.5948574199648782,-0.8492653421485331,pre,0.03596
Gallinago delicata,Wilson's Snipe,0.23762477066548585,-0.0881375785618742,pre,0.29546574999999997
Gavia immer,Common Loon,0.6356614640518657,-0.5369236131081473,pre,0.245773
Geothlypis trichas,Common Yellowthroat,0.276145177391477,0.7982179919110536,pre,25.44983375
Haemorhous mexicanus,House Finch,0.6858704316246026,0.22514620178276817,pre,8.707846499999999
Haemorhous purpureus,Purple Finch,0.7644782937779816,0.46784549601618,pre,0.0668835
Haliaeetus leucocephalus,Bald Eagle,0.7421777010192193,-1.2912230243068328,pre,0.35819524999999997
Hirundo rustica,Barn Swallow,0.36371810194897786,-0.22851590129081611,pre,27.57323675
Hydroprogne caspia,Caspian Tern,0.34556760110614465,-0.5505722767525719,pre,0.02267525
Hylocichla mustelina,Wood Thrush,0.19762519906848347,1.9328977156335323,pre,1.3238465000000001
Icterus galbula,Baltimore Oriole,0.5081088262306189,0.16883110410543464,pre,6.653995999999999
Icterus spurius,Orchard Oriole,0.34284369286699246,0.5594809210715957,pre,0.35589875
Junco hyemalis,Dark-eyed Junco,0.8739148984470698,0.20037457132059397,pre,0.0033675
Larus delawarensis,Ring-billed Gull,0.37518985620729706,-0.8230497296241944,pre,10.337113
Leiothlypis peregrina,Tennessee Warbler,0.18717274457896432,0.7244930492853145,pre,0.004587056997207529
Leiothlypis ruficapilla,Nashville Warbler,0.20834829067788535,0.6907414437225299,pre,0.14312124999999998
Lophodytes cucullatus,Hooded Merganser,0.524409403257372,-1.6888131532275288,pre,0.10184575
Mareca americana,American Wigeon,0.23020417570493873,-0.936483705259326,pre,0.010381592336916316
Mareca strepera,Gadwall,0.27159835138102445,-0.8193887261225908,pre,0.0115145
Megaceryle alcyon,Belted Kingfisher,0.36059890635990655,-0.15161301559937404,pre,0.26419950000000003
Melanerpes carolinus,Red-bellied Woodpecker,0.5123254150681013,0.28510595008214845,pre,4.200588
Melanerpes erythrocephalus,Red-headed Woodpecker,0.678493878702574,0.11835196632494904,pre,0.54518675
Meleagris gallopavo,Wild Turkey,0.6435980668065318,-0.33830028646160387,pre,4.316579
Melospiza georgiana,Swamp Sparrow,0.16591426796531178,0.5790637602567431,pre,1.92517375
Melospiza melodia,Song Sparrow,0.3378555578615567,0.5472075887281274,pre,46.77964525
Mergus merganser,Common Merganser,0.4842117361275369,-1.50575686858375,pre,0.00426475
Mergus serrator,Red-breasted Merganser,0.3698097336461956,-2.580335147554955,pre,4.960701832569987e-4
Mniotilta varia,Black-and-white Warbler,0.32853814735817843,0.43344995551512794,pre,0.2400025
Molothrus ater,Brown-headed Cowbird,0.3711148972106276,0.18388225763787924,pre,17.63855875
Myiarchus crinitus,Great Crested Flycatcher,0.2220392193933843,0.869085537083709,pre,4.30307725
Nannopterum auritum,Double-crested Cormorant,0.487207896616885,-1.8010570029558195,pre,1.825954
Oxyura jamaicensis,Ruddy Duck,0.3609329387997747,-1.9667124856364049,pre,0.02899575
Pandion haliaetus,Osprey,0.5739667357894314,-0.66595910501404465,pre,0.11895025000000001
Parkesia noveboracensis,Northern Waterthrush,0.18906010738610865,1.310892388630982,pre,0.062416
Passer domesticus,House Sparrow,0.6506600024622085,0.3783048071987633,pre,90.85822425
Passerculus sandwichensis,Savannah Sparrow,0.12803203478884642,0.35510073382509666,pre,9.032828
Passerella iliaca,Fox Sparrow,0.4315152366083572,0.8370696156038613,pre,0.024274801639300216
Passerina cyanea,Indigo Bunting,0.2317976309017805,0.8388957072311356,pre,11.59424
Pelecanus erythrorhynchos,American White Pelican,0.5777011759750592,-3.250143966937119,pre,41.73957125
Petrochelidon pyrrhonota,Cliff Swallow,0.3057360764632407,0.00290473905127932,pre,103.0690245
Phasianus colchicus,Ring-necked Pheasant,0.4783179407396066,0.031334125150656283,pre,12.32418625
Pheucticus ludovicianus,Rose-breasted Grosbeak,0.4581929735416726,0.5524365746452984,pre,6.473616
Pipilo erythrophthalmus,Eastern Towhee,0.268291257770724,1.2045924353530864,pre,1.67466575
Piranga olivacea,Scarlet Tanager,0.2162614367964374,0.753626850249922,pre,1.0457935
Podiceps auritus,Horned Grebe,0.33414032347355804,-1.9979262000828504,pre,9.488249753263106e-4
Podilymbus podiceps,Pied-billed Grebe,0.4137911117931682,-0.8223441775811061,pre,0.16271175
Poecile atricapillus,Black-capped Chickadee,0.7426727055861122,0.756388382073711,pre,6.8390625
Polioptila caerulea,Blue-gray Gnatcatcher,0.17527260144380383,0.4435979510546923,pre,0.56709975
Pooecetes gramineus,Vesper Sparrow,0.1341723392208229,0.43844101685856385,pre,5.3003345
Porzana carolina,Sora,0.3153086906536183,0.8122392157694601,pre,0.24068699999999998
Progne subis,Purple Martin,0.25075041453541747,0.36966447006235104,pre,1.48167
Quiscalus quiscula,Common Grackle,0.4611084492106002,0.1904075195456425,pre,42.026835500000004
Regulus satrapa,Golden-crowned Kinglet,0.2906961981333857,0.6954867114112622,pre,0.021225057923612768
Riparia riparia,Bank Swallow,0.2491635570132813,-0.3545062879646161,pre,8.600258
Sayornis phoebe,Eastern Phoebe,0.3754753630890457,0.10782402975384488,pre,2.2168395
Seiurus aurocapilla,Ovenbird,0.18772680204872644,1.4028259990101994,pre,2.6135225
Setophaga americana,Northern Parula,0.13375011663599876,0.778362702845911,pre,0.027494499999999998
Setophaga coronata,Yellow-rumped Warbler,0.5135760158297006,-0.06771793611872538,pre,0.055170250000000004
Setophaga fusca,Blackburnian Warbler,0.2355187665932588,0.47804303820268645,pre,0.030312
Setophaga magnolia,Magnolia Warbler,0.31378240121881096,0.4569079269001738,pre,0.01472675
Setophaga palmarum,Palm Warbler,0.4315232051829273,-0.29930659475145655,pre,0.002265175963975518
Setophaga pensylvanica,Chestnut-sided Warbler,0.2616624035719899,0.6930653012493441,pre,0.520056
Setophaga petechia,Yellow Warbler,0.29862507627985796,0.5343980985326431,pre,12.0004235
Setophaga pinus,Pine Warbler,0.17025239584528945,0.6118190042048821,pre,0.45331
Setophaga ruticilla,American Redstart,0.32754832407207723,0.8087335324015125,pre,2.68483925
Setophaga striata,Blackpoll Warbler,0.23265679102105044,0.398585948993304,pre,8.278070651833197e-4
Setophaga virens,Black-throated Green Warbler,0.16614669022966314,0.4456226112527847,pre,0.0996515
Sialia sialis,Eastern Bluebird,0.4813919886834261,-0.3683607726972043,pre,3.73391225
Sitta canadensis,Red-breasted Nuthatch,0.5789904265315656,0.6339057985489943,pre,0.2634415
Sitta carolinensis,White-breasted Nuthatch,0.6023100143272937,0.40898959599572215,pre,4.1518749999999995
Spatula clypeata,Northern Shoveler,0.40397699934545633,-1.6515873369561962,pre,0.02018975
Spatula discors,Blue-winged Teal,0.4541135037511856,-1.257224510604358,pre,0.19198975000000001
Sphyrapicus varius,Yellow-bellied Sapsucker,0.3809132903254815,0.05510019318928054,pre,0.7492894999999999
Spinus pinus,Pine Siskin,0.5290503333515599,0.41092375245981905,pre,0.017736500000000002
Spinus tristis,American Goldfinch,0.5953463935138471,0.1918024076846225,pre,20.832276
Spiza americana,Dickcissel,0.34169521176644785,0.9502502909855306,pre,7.67558275
Spizella pallida,Clay-colored Sparrow,0.3603227177676753,0.3690745259768011,pre,1.24855075
Spizella passerina,Chipping Sparrow,0.40878303993009585,0.5439050156191141,pre,25.78140875
Spizella pusilla,Field Sparrow,0.2989643847376976,0.848783514485259,pre,3.2147425
Stelgidopteryx serripennis,Northern Rough-winged Swallow,0.2130108472003193,-0.24136693726929312,pre,1.9237185
Sterna forsteri,Forster's Tern,0.3654558618428837,-0.7105581075671715,pre,0.20547725
Strix varia,Barred Owl,0.6091970418098072,0.945423052153794,pre,0.0889415
Sturnus vulgaris,European Starling,0.4024057919363436,-0.02390430507091671,pre,113.633152
Tachycineta bicolor,Tree Swallow,0.4091608427529673,-0.4149570783306604,pre,10.80769575
Thryothorus ludovicianus,Carolina Wren,0.12066547349660296,1.451263559061716,pre,0.12009800000000001
Toxostoma rufum,Brown Thrasher,0.37491662723772673,0.7290381414448603,pre,2.4165247499999998
Turdus migratorius,American Robin,0.6722885705652534,0.4111876698462532,pre,79.31416
Tyrannus tyrannus,Eastern Kingbird,0.35819763373080227,-0.30665699320671364,pre,2.8805472500000002
Vermivora cyanoptera,Blue-winged Warbler,0.14925554989791984,0.9299311879190018,pre,0.40773625
Vireo flavifrons,Yellow-throated Vireo,0.11203423336886575,1.4070999306303655,pre,2.2153155
Vireo gilvus,Warbling Vireo,0.181349110562668,1.151243527958994,pre,8.27644675
Vireo olivaceus,Red-eyed Vireo,0.1949081922975099,1.2598374902260576,pre,7.62209875
Vireo solitarius,Blue-headed Vireo,0.18127382008125337,0.9078557465425467,pre,0.0560245
Zenaida macroura,Mourning Dove,0.5825516427052757,-0.38288638221003635,pre,37.65037275
Zonotrichia albicollis,White-throated Sparrow,0.4183921808118097,0.6171131445327823,pre,0.0825025
Zonotrichia leucophrys,White-crowned Sparrow,0.6034569083082172,0.16385136214541451,pre,0.09040373716457664
Actitis macularius,Spotted Sandpiper,0.2177971557108529,-0.3755228939426579,post,0.096471
Agelaius phoeniceus,Red-winged Blackbird,0.5880440849187263,0.40751927824096984,post,209.80007899999998
Aix sponsa,Wood Duck,0.4504401685576558,-0.7044939116316719,post,1.919458
Anas crecca,Green-winged Teal,0.2085709379049148,-0.6461328493763393,post,0.018131500000000002
Anas platyrhynchos,Mallard,0.557462351822331,-0.8316283552899344,post,6.4318035
Antigone canadensis,Sandhill Crane,0.3696720623716409,-0.04795452461337031,post,18.7519445
Archilochus colubris,Ruby-throated Hummingbird,0.8514126954960347,-0.748959232609749,post,0.3776895
Ardea alba,Great Egret,0.5983809364451876,-1.516928372890033,post,0.447237
Ardea herodias,Great Blue Heron,0.5076486093926045,-1.1491087738138028,post,1.5806735
Astur cooperii,Cooper's Hawk,0.38790367273836873,-0.2554678578366795,post,0.15374549999999998
Aythya affinis,Lesser Scaup,0.28333144014068345,-2.7442999972713333,post,0.0227995
Aythya americana,Redhead,0.3132098755747064,-2.0583769322576813,post,0.089423
Aythya collaris,Ring-necked Duck,0.3680581541538181,-1.728892125748346,post,0.093779
Aythya valisineria,Canvasback,0.2744473609454463,-2.2793350042715144,post,0.012506394046073076
Baeolophus bicolor,Tufted Titmouse,0.43648378375019864,1.040315720070894,post,2.6997590000000002
Bombycilla cedrorum,Cedar Waxwing,0.33431608856716394,-0.2804704360512954,post,7.841291
Branta canadensis,Canada Goose,0.5450410728420607,-0.24294647206734568,post,262.2234565
Bucephala albeola,Bufflehead,0.3990864224983426,-1.9256419417703048,post,0.003516964142098956
Bucephala clangula,Common Goldeneye,0.3525638837838849,-1.4202759839137236,post,9.33017112703681e-4
Buteo jamaicensis,Red-tailed Hawk,0.38551705687752974,-0.8923634693555595,post,1.2720194999999999
Buteo platypterus,Broad-winged Hawk,0.42975011799450624,0.1362015444097658,post,0.046431
Butorides virescens,Green Heron,0.49139994337431936,-0.39846363674696095,post,0.715448
Cardellina pusilla,Wilson's Warbler,0.3034185437805732,0.6881961609387514,post,0.022953125210510007
Cardinalis cardinalis,Northern Cardinal,0.7830683676444179,0.6526542390618777,post,18.188944499999998
Cathartes aura,Turkey Vulture,0.4036726456595317,-2.8288834388220296,post,3.127828
Catharus fuscescens,Veery,0.22797630298427168,1.6114356788675628,post,1.641401
Catharus guttatus,Hermit Thrush,0.40114593706414226,0.7028909506647012,post,0.0970605
Catharus ustulatus,Swainson's Thrush,0.3034365848315404,1.4806864834371998,post,0.007758
Certhia americana,Brown Creeper,0.4229826218379269,0.6016800969657009,post,0.0195365
Chaetura pelagica,Chimney Swift,0.384360883913253,0.7616658066380082,post,3.0421715000000003
Charadrius vociferus,Killdeer,0.28534885852887576,0.09206104882452355,post,14.0187095
Circus hudsonius,Northern Harrier,0.3463679950263902,-1.3799079384874102,post,0.174927
Cistothorus palustris,Marsh Wren,0.23708807651240368,1.350275419854384,post,1.0020985
Cistothorus stellaris,Sedge Wren,0.23985239889386248,1.533216277551275,post,1.746527
Colaptes auratus,Northern Flicker,0.38372333001790543,0.27472454845503935,post,2.2328865
Columba livia,Rock Pigeon,0.3813526172014464,-0.8434255647469465,post,57.8139945
Contopus virens,Eastern Wood-Pewee,0.3417402511927059,0.8159466106773976,post,5.3738195
Corthylio calendula,Ruby-crowned Kinglet,0.4233855761580012,0.28580944953821624,post,0.05274489807572091
Corvus brachyrhynchos,American Crow,0.5627377157200922,0.8893359091070989,post,46.9559495
Cyanocitta cristata,Blue Jay,0.7220297818753626,0.9490726867150356,post,10.150126499999999
Cygnus olor,Mute Swan,0.5198365120354752,-1.1533960747624827,post,0.5688265
Dolichonyx oryzivorus,Bobolink,0.2920135955409053,0.6294882912162766,post,4.6504005
Dryobates pubescens,Downy Woodpecker,0.6946954417506758,0.03983725538924959,post,2.233154
Dryobates villosus,Hairy Woodpecker,0.6134130385833709,0.6369150120150615,post,0.886182
Dryocopus pileatus,Pileated Woodpecker,0.5479551091839006,0.4626804793199197,post,0.920057
Dumetella carolinensis,Gray Catbird,0.4936297726073024,0.9053238462612664,post,11.357228
Empidonax minimus,Least Flycatcher,0.22325195613499912,0.9437387021709044,post,0.7014735
Empidonax traillii,Willow Flycatcher,0.1720329900427627,1.1582893720019452,post,2.3462935
Empidonax virescens,Acadian Flycatcher,0.17307766733276908,1.8380223123927697,post,0.23967149999999998
Eremophila alpestris,Horned Lark,0.12868027526200915,0.02110907047221531,post,19.4883425
Falco sparverius,American Kestrel,0.3079400424717907,-0.938543418208577,post,0.661344
Fulica americana,American Coot,0.4460555433272864,-0.8492653421485331,post,0.027818500000000003
Gallinago delicata,Wilson's Snipe,0.17402369732684453,-0.0881375785618742,post,0.137626
Gavia immer,Common Loon,0.5597021654400671,-0.5369236131081473,post,0.217117
Geothlypis trichas,Common Yellowthroat,0.3285855930055861,0.7982179919110536,post,25.445565
Haemorhous mexicanus,House Finch,0.7813317170362339,0.22514620178276817,post,11.175357
Haemorhous purpureus,Purple Finch,0.6869216512973548,0.46784549601618,post,0.074367
Haliaeetus leucocephalus,Bald Eagle,0.5611449212704688,-1.2912230243068328,post,0.467383
Hirundo rustica,Barn Swallow,0.3374133724903263,-0.22851590129081611,post,24.795561
Hydroprogne caspia,Caspian Tern,0.29764063957761694,-0.5505722767525719,post,0.0207205
Hylocichla mustelina,Wood Thrush,0.2308444475310461,1.9328977156335323,post,1.5460355
Icterus galbula,Baltimore Oriole,0.5424137634727707,0.16883110410543464,post,6.763244
Icterus spurius,Orchard Oriole,0.32758323746712703,0.5594809210715957,post,0.4832335
Junco hyemalis,Dark-eyed Junco,0.9014308274995706,0.20037457132059397,post,0.0033615
Larus delawarensis,Ring-billed Gull,0.3278111746767044,-0.8230497296241944,post,11.755343
Leiothlypis peregrina,Tennessee Warbler,0.2922107221979181,0.7244930492853145,post,0.004911099161542361
Leiothlypis ruficapilla,Nashville Warbler,0.32153231934534665,0.6907414437225299,post,0.137078
Lophodytes cucullatus,Hooded Merganser,0.4819790845412058,-1.6888131532275288,post,0.1216305
Mareca americana,American Wigeon,0.23769589373274488,-0.936483705259326,post,0.009414258740038725
Mareca strepera,Gadwall,0.23869724329331177,-0.8193887261225908,post,0.011318000000000002
Megaceryle alcyon,Belted Kingfisher,0.374516752872562,-0.15161301559937404,post,0.2727885
Melanerpes carolinus,Red-bellied Woodpecker,0.5937340464965433,0.28510595008214845,post,4.9895534999999995
Melanerpes erythrocephalus,Red-headed Woodpecker,0.41415455501704224,0.11835196632494904,post,0.6851265
Meleagris gallopavo,Wild Turkey,0.546694802552954,-0.33830028646160387,post,6.432881
Melospiza georgiana,Swamp Sparrow,0.2207637334102859,0.5790637602567431,post,2.126055
Melospiza melodia,Song Sparrow,0.3746438555800573,0.5472075887281274,post,38.199281
Mergus merganser,Common Merganser,0.4059015541731664,-1.50575686858375,post,0.0040165
Mergus serrator,Red-breasted Merganser,0.3800123314485609,-2.580335147554955,post,5.170350282202523e-4
Mniotilta varia,Black-and-white Warbler,0.318045131118685,0.43344995551512794,post,0.268075
Molothrus ater,Brown-headed Cowbird,0.4561614104536946,0.18388225763787924,post,17.557875000000003
Myiarchus crinitus,Great Crested Flycatcher,0.3525676819605081,0.869085537083709,post,4.456440000000001
Nannopterum auritum,Double-crested Cormorant,0.4665707416155539,-1.8010570029558195,post,1.8399675
Oxyura jamaicensis,Ruddy Duck,0.2826574652201568,-1.9667124856364049,post,0.027094
Pandion haliaetus,Osprey,0.5134558046456995,-0.66595910501404465,post,0.1421265
Parkesia noveboracensis,Northern Waterthrush,0.21035885921934563,1.310892388630982,post,0.0668865
Passer domesticus,House Sparrow,0.8483946457738948,0.3783048071987633,post,88.9329885
Passerculus sandwichensis,Savannah Sparrow,0.2221288305346559,0.35510073382509666,post,6.0010285
Passerella iliaca,Fox Sparrow,0.3680497595333525,0.8370696156038613,post,0.02455887583196456
Passerina cyanea,Indigo Bunting,0.3173924673375851,0.8388957072311356,post,10.916274999999999
Pelecanus erythrorhynchos,American White Pelican,0.4478188377508765,-3.250143966937119,post,63.0836865
Petrochelidon pyrrhonota,Cliff Swallow,0.22616096111579215,0.00290473905127932,post,101.02237600000001
Phasianus colchicus,Ring-necked Pheasant,0.30446917102721255,0.031334125150656283,post,12.538104
Pheucticus ludovicianus,Rose-breasted Grosbeak,0.4652628196520069,0.5524365746452984,post,6.680572
Pipilo erythrophthalmus,Eastern Towhee,0.21084464543856565,1.2045924353530864,post,1.5722105
Piranga olivacea,Scarlet Tanager,0.2514669100096918,0.753626850249922,post,1.1551719999999999
Podiceps auritus,Horned Grebe,0.361535632454057,-1.9979262000828504,post,0.0010381673848755212
Podilymbus podiceps,Pied-billed Grebe,0.3524452501727524,-0.8223441775811061,post,0.14501799999999998
Poecile atricapillus,Black-capped Chickadee,0.7903894319381066,0.756388382073711,post,6.024968
Polioptila caerulea,Blue-gray Gnatcatcher,0.2040456650851074,0.4435979510546923,post,0.485463
Porzana carolina,Sora,0.27894046719129345,0.8122392157694601,post,0.17388
Progne subis,Purple Martin,0.2516583516295144,0.36966447006235104,post,2.0365604999999998
Quiscalus quiscula,Common Grackle,0.5339748043033211,0.1904075195456425,post,36.8260255
Regulus satrapa,Golden-crowned Kinglet,0.3076245388820266,0.6954867114112622,post,0.016437329647296106
Riparia riparia,Bank Swallow,0.18643854172443716,-0.3545062879646161,post,10.180913499999999
Sayornis phoebe,Eastern Phoebe,0.3560878895976939,0.10782402975384488,post,1.4122469999999998
Seiurus aurocapilla,Ovenbird,0.2362700018981796,1.4028259990101994,post,2.505493
Setophaga americana,Northern Parula,0.19905730520505063,0.778362702845911,post,0.028958499999999998
Setophaga coronata,Yellow-rumped Warbler,0.533403728206784,-0.06771793611872538,post,0.056581
Setophaga fusca,Blackburnian Warbler,0.23028805072027173,0.47804303820268645,post,0.0327635
Setophaga magnolia,Magnolia Warbler,0.3425439783912184,0.4569079269001738,post,0.014154
Setophaga palmarum,Palm Warbler,0.41325639831296873,-0.29930659475145655,post,0.00231363203513605
Setophaga pensylvanica,Chestnut-sided Warbler,0.2762299441243637,0.6930653012493441,post,0.55633
Setophaga petechia,Yellow Warbler,0.3420292073538039,0.5343980985326431,post,12.730335
Setophaga pinus,Pine Warbler,0.17624001620384022,0.6118190042048821,post,0.5124365
Setophaga ruticilla,American Redstart,0.37057893302333456,0.8087335324015125,post,3.1122965000000002
Setophaga striata,Blackpoll Warbler,0.2402717320344114,0.398585948993304,post,8.698182669487199e-4
Setophaga virens,Black-throated Green Warbler,0.21344589162377564,0.4456226112527847,post,0.115585
Sialia sialis,Eastern Bluebird,0.40813938455044,-0.3683607726972043,post,2.620431
Sitta canadensis,Red-breasted Nuthatch,0.616632321345699,0.6339057985489943,post,0.28486500000000003
Sitta carolinensis,White-breasted Nuthatch,0.680049362612145,0.40898959599572215,post,4.387382
Spatula clypeata,Northern Shoveler,0.33996032209485283,-1.6515873369561962,post,0.019715499999999997
Spatula discors,Blue-winged Teal,0.3826015320147496,-1.257224510604358,post,0.1235175
Sphyrapicus varius,Yellow-bellied Sapsucker,0.37844299675330895,0.05510019318928054,post,0.9097759999999999
Spinus pinus,Pine Siskin,0.6437950010292258,0.41092375245981905,post,0.012272000000000002
Spinus tristis,American Goldfinch,0.6698694340322369,0.1918024076846225,post,17.489413
Spiza americana,Dickcissel,0.3258206266811303,0.9502502909855306,post,7.0832075
Spizella pallida,Clay-colored Sparrow,0.25898171173228995,0.3690745259768011,post,0.917531
Spizella passerina,Chipping Sparrow,0.4513717194359499,0.5439050156191141,post,20.1375155
Spizella pusilla,Field Sparrow,0.26949250476862924,0.848783514485259,post,2.9400905
Stelgidopteryx serripennis,Northern Rough-winged Swallow,0.23130411225704567,-0.24136693726929312,post,1.829805
Strix varia,Barred Owl,0.4772683303274241,0.945423052153794,post,0.101214
Sturnus vulgaris,European Starling,0.4744969854040979,-0.02390430507091671,post,108.61148299999999
Tachycineta bicolor,Tree Swallow,0.3700012787199183,-0.4149570783306604,post,8.074552
Thryothorus ludovicianus,Carolina Wren,0.2816103009798038,1.451263559061716,post,0.231759
Toxostoma rufum,Brown Thrasher,0.3493589419482361,0.7290381414448603,post,2.1937055
Turdus migratorius,American Robin,0.7413473653977877,0.4111876698462532,post,75.607186
Tyrannus tyrannus,Eastern Kingbird,0.3603302468174075,-0.30665699320671364,post,3.35403
Vermivora cyanoptera,Blue-winged Warbler,0.18447892754230644,0.9299311879190018,post,0.408215
Vireo flavifrons,Yellow-throated Vireo,0.19331591708245477,1.4070999306303655,post,2.2891215000000003
Vireo gilvus,Warbling Vireo,0.24745127163885444,1.151243527958994,post,9.380073
Vireo olivaceus,Red-eyed Vireo,0.33169809186873994,1.2598374902260576,post,8.184906
Zenaida macroura,Mourning Dove,0.6309299440697085,-0.38288638221003635,post,37.733053
Zonotrichia albicollis,White-throated Sparrow,0.5000620267769746,0.6171131445327823,post,0.0779155
Zonotrichia leucophrys,White-crowned Sparrow,0.5374502820406277,0.16385136214541451,post,0.08456754384107099
